fee_rate,period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0050000000,actual_pre2026,riskadj_h20_t10_block_cut,2010-02-11,2025-12-31,100000.0000000000,22451938.2135622501,223.5193821356,0.4060931864,89,5.6026512410,1240558.2232677285,-0.4676756940,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,actual_pre2026,riskadj_h20_t15_block_cut,2010-02-11,2025-12-31,100000.0000000000,22265633.3683974594,221.6563336840,0.4053558219,89,5.6026512410,1232513.3477387193,-0.4676759423,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,vo,2016-01-04,2025-12-31,100000.0000000000,2121143.0027847541,20.2114300278,0.3576302574,67,6.7062887092,119238.3135406879,-0.4676672141,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,recovery_10_breadth2_cool95,2016-01-04,2025-12-31,100000.0000000000,2840254.9106076220,27.4025491061,0.3978872572,67,6.7062887092,145912.4944403698,-0.4676643353,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,consensus_20_60_120_n3_block_cut,2016-01-04,2025-12-31,100000.0000000000,2529769.3796850964,24.2976937969,0.3817828184,61,6.1057255412,129126.1268375836,-0.4676732631,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,riskadj_h60_t15_step_up,2016-01-04,2025-12-31,100000.0000000000,2708246.5130263176,26.0824651303,0.3912439645,71,7.1066641546,158510.1206901789,-0.4730834005,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,recovery_15_breadth2_cool95,2016-01-04,2025-12-31,100000.0000000000,2800603.0898861904,27.0060308989,0.3959215032,67,6.7062887092,144249.0408660238,-0.4676724484,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s10_l60_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2283606.2807996380,21.8360628080,0.3676962145,65,6.5061009866,124010.9835224717,-0.4676637836,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s5_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2179702.1095424634,20.7970210954,0.3613360275,65,6.5061009866,118941.3961716564,-0.4676725112,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s5_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2179702.1095424634,20.7970210954,0.3613360275,65,6.5061009866,118941.3961716564,-0.4676725112,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s10_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2179702.1095424634,20.7970210954,0.3613360275,65,6.5061009866,118941.3961716564,-0.4676725112,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,riskadj_h60_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,2704388.5321993222,26.0438853220,0.3910454642,63,6.3059132639,141150.9318492967,-0.4676707299,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s10_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2179702.1095424634,20.7970210954,0.3613360275,65,6.5061009866,118941.3961716564,-0.4676725112,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,breadth_price_sma_h60_n3_block_cut,2016-01-04,2025-12-31,100000.0000000000,2199664.2665252071,20.9966426653,0.3625788243,59,5.9055378186,113531.6250188116,-0.4676683779,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,cool_s10_l30_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2173514.7415564624,20.7351474156,0.3609487369,65,6.5061009866,118661.0338007051,-0.4676660020,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,riskadj_h20_t10_block_cut,2016-01-04,2025-12-31,100000.0000000000,2197958.3085321095,20.9795830853,0.3624730129,65,6.5061009866,119729.5008867524,-0.4676680958,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
0.0050000000,decade_2016_2025,riskadj_h20_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,2179702.1095424634,20.7970210954,0.3613360275,65,6.5061009866,118941.3961716564,-0.4676725112,2021-11-19,2022-09-30,315,2023-06-12,255,570,570,2021-11-19
