period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
actual_current,riskadj_h20_t5_step_up,2010-02-11,2026-08-07,100000.0000000000,35374652.5199051648,352.7465251991,0.4276025831,173,10.4944282511,713905.0525520006,-0.5685214082,2021-11-19,2022-12-28,404,2023-07-17,201.0000000000,605.0000000000,664,2024-07-10
actual_current,riskadj_h20_t5_block_cut,2010-02-11,2026-08-07,100000.0000000000,29484139.7657160535,293.8413976572,0.4119157403,90,5.4595291480,322443.2406943009,-0.4577022762,2021-11-19,2022-09-30,315,2023-06-01,244.0000000000,559.0000000000,559,2021-11-19
actual_current,riskadj_h20_t10_step_up,2010-02-11,2026-08-07,100000.0000000000,34287065.5762674063,341.8706557627,0.4249008415,165,10.0091367713,528117.7731013458,-0.4494817833,2024-12-16,2025-04-07,112,2025-10-28,204.0000000000,316.0000000000,553,2021-11-19
actual_current,riskadj_h20_t10_block_cut,2010-02-11,2026-08-07,100000.0000000000,31530657.5615247525,314.3065756152,0.4176751640,94,5.7021748879,351704.0664723566,-0.4577020025,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,riskadj_h20_t15_step_up,2010-02-11,2026-08-07,100000.0000000000,26515412.5082891621,264.1541250829,0.4028553408,146,8.8565695067,426777.8559071139,-0.4795708815,2021-11-19,2022-09-30,315,2023-06-13,256.0000000000,571.0000000000,571,2021-11-19
actual_current,riskadj_h20_t15_block_cut,2010-02-11,2026-08-07,100000.0000000000,31267954.5630547702,311.6795456305,0.4169558364,94,5.7021748879,349263.8193152780,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,riskadj_h60_t5_step_up,2010-02-11,2026-08-07,100000.0000000000,15387846.7063227519,152.8784670632,0.3573046814,146,8.8565695067,322771.0078849638,-0.5773402828,2021-11-19,2022-09-30,315,2023-07-17,290.0000000000,605.0000000000,691,2024-07-10
actual_current,riskadj_h60_t5_block_cut,2010-02-11,2026-08-07,100000.0000000000,20189429.7999743223,200.8942979997,0.3798508101,81,4.9135762332,211754.1814293191,-0.5003604045,2021-11-19,2022-09-30,315,2023-06-14,257.0000000000,572.0000000000,691,2024-07-10
actual_current,riskadj_h60_t10_step_up,2010-02-11,2026-08-07,100000.0000000000,27328447.4095647037,272.2844740956,0.4054278650,113,6.8547421525,416415.2375391650,-0.4894650734,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
actual_current,riskadj_h60_t10_block_cut,2010-02-11,2026-08-07,100000.0000000000,33744713.4524601623,336.4471345246,0.4235233275,90,5.4595291480,369138.6095966148,-0.4577024405,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,riskadj_h60_t15_step_up,2010-02-11,2026-08-07,100000.0000000000,35375576.4603367746,352.7557646034,0.4276048450,104,6.3087892377,530462.8961123055,-0.4610972933,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,riskadj_h60_t15_block_cut,2010-02-11,2026-08-07,100000.0000000000,36056823.7906085104,359.5682379061,0.4292576618,94,5.7021748879,449953.5205898992,-0.4577022292,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,riskadj_h120_t5_step_up,2010-02-11,2026-08-07,100000.0000000000,24434038.9316507950,243.3403893165,0.3959157882,113,6.8547421525,366900.8871504393,-0.5006319736,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,687,2024-07-10
actual_current,riskadj_h120_t5_block_cut,2010-02-11,2026-08-07,100000.0000000000,20842125.4808959253,207.4212548090,0.3825165844,62,3.7610089686,136059.9076865016,-0.5034447435,2021-11-19,2022-09-30,315,2023-06-14,257.0000000000,572.0000000000,685,2024-07-10
