period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,magratio_tqqq_125_block_cut,1999-03-10,2025-12-31,100000.0000000000,172047653.1720299721,1719.4765317203,0.3203153480,130,4.8485167977,1722232.9087309504,-0.5415067555,2007-10-31,2009-05-13,560,2010-04-12,334.0000000000,894.0000000000,1281,2000-01-03
full_pre2026,magratio_tqqq_150_floor50,1999-03-10,2025-12-31,100000.0000000000,150345818.5791972280,1502.4581857920,0.3136924333,190,7.0862937813,1682800.3636988318,-0.5056891981,2007-10-31,2009-04-20,537,2009-12-24,248.0000000000,785.0000000000,1334,2000-01-03
full_pre2026,magratio_tqqq_150_floor100,1999-03-10,2025-12-31,100000.0000000000,128707550.8463632762,1286.0755084636,0.3061007293,243,9.0629967834,1756095.4176258384,-0.7162114127,2000-01-03,2000-07-10,189,2005-11-21,1960.0000000000,2149.0000000000,2149,2000-01-03
full_pre2026,magratio_tqqq_150_step_up,1999-03-10,2025-12-31,100000.0000000000,170267881.9493681192,1701.6788194937,0.3198033945,253,9.4359596140,2292301.0794070722,-0.5397519082,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,magratio_tqqq_150_block_cut,1999-03-10,2025-12-31,100000.0000000000,150338776.2573205829,1502.3877625732,0.3136901383,142,5.2960721944,1568392.4757201564,-0.5288315832,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,magratio_tqqq_200_floor50,1999-03-10,2025-12-31,100000.0000000000,173685955.2921924293,1735.8595529219,0.3207821209,182,6.7879235168,2060224.4832325503,-0.4914343576,2007-10-31,2008-09-17,322,2009-12-24,463.0000000000,785.0000000000,1249,2000-01-03
full_pre2026,magratio_tqqq_200_floor100,1999-03-10,2025-12-31,100000.0000000000,175382378.4997582436,1752.8237849976,0.3212610074,239,8.9138116512,2926902.4944372550,-0.5295844822,2000-01-03,2002-11-19,1051,2004-01-12,419.0000000000,1470.0000000000,1470,2000-01-03
full_pre2026,magratio_tqqq_200_step_up,1999-03-10,2025-12-31,100000.0000000000,197389962.8029009402,1972.8996280290,0.3270991665,238,8.8765153681,2973624.1980391033,-0.5253363712,2007-10-31,2009-05-13,560,2010-01-04,236.0000000000,796.0000000000,1243,2000-01-03
full_pre2026,magratio_tqqq_200_block_cut,1999-03-10,2025-12-31,100000.0000000000,180072805.2583091855,1799.7280525831,0.3225622272,152,5.6690350250,1924752.8137415131,-0.5288318220,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,magratio_tqqq_300_floor50,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_300_floor100,1999-03-10,2025-12-31,100000.0000000000,193984116.7124623060,1938.8411671246,0.3262379707,158,5.8928127234,2076045.4230353360,-0.5288317450,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_300_step_up,1999-03-10,2025-12-31,100000.0000000000,193984116.7124623060,1938.8411671246,0.3262379707,158,5.8928127234,2076045.4230353360,-0.5288317450,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_300_block_cut,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_400_floor50,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_400_floor100,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_400_step_up,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,magratio_tqqq_400_block_cut,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,combo_tqqq_100_55_floor50,1999-03-10,2025-12-31,100000.0000000000,192772222.8752518892,1926.7222287525,0.3259280184,221,8.2424785561,2642702.6220176201,-0.5061664472,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,1243,2000-01-03
full_pre2026,combo_tqqq_100_55_floor100,1999-03-10,2025-12-31,100000.0000000000,197248679.1871076822,1971.4867918711,0.3270637272,295,11.0024035025,3862131.8883952103,-0.6031720983,2000-01-03,2000-07-05,184,2003-07-07,1097.0000000000,1281.0000000000,1281,2000-01-03
full_pre2026,combo_tqqq_100_55_step_up,1999-03-10,2025-12-31,100000.0000000000,233550466.4694771767,2334.5046646948,0.3354513809,312,11.6364403145,3696531.0960377743,-0.5346607347,2021-11-19,2022-12-28,404,2023-07-18,202.0000000000,606.0000000000,1169,2000-01-03
full_pre2026,combo_tqqq_100_55_block_cut,1999-03-10,2025-12-31,100000.0000000000,150794015.5725885630,1506.9401557259,0.3138382860,136,5.0722944961,1568291.8339609201,-0.5288319256,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,combo_tqqq_100_65_floor50,1999-03-10,2025-12-31,100000.0000000000,188695168.6253543496,1885.9516862535,0.3248713275,206,7.6830343102,2452280.3670950970,-0.4722806995,2007-10-31,2008-09-17,322,2009-10-14,392.0000000000,714.0000000000,1326,2000-01-03
full_pre2026,combo_tqqq_100_65_floor100,1999-03-10,2025-12-31,100000.0000000000,181948014.0260008872,1818.4801402600,0.3230733385,245,9.1375893495,3347036.9648060347,-0.6261747740,2000-01-03,2000-07-10,189,2004-12-14,1618.0000000000,1807.0000000000,1807,2000-01-03
full_pre2026,combo_tqqq_100_65_step_up,1999-03-10,2025-12-31,100000.0000000000,207768570.0917374194,2076.6857009174,0.3296379350,251,9.3613670479,3150866.0223330949,-0.5002924690,2021-11-19,2022-12-28,404,2023-07-17,201.0000000000,605.0000000000,1173,2000-01-03
full_pre2026,combo_tqqq_100_65_block_cut,1999-03-10,2025-12-31,100000.0000000000,174344414.4499057233,1742.4441444991,0.3209685311,148,5.5198498928,1863390.4414635466,-0.5288318654,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,combo_tqqq_100_75_floor50,1999-03-10,2025-12-31,100000.0000000000,169937708.8097998500,1698.3770880980,0.3197078536,172,6.4149606862,1977405.1721526384,-0.5039819549,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,1249,2000-01-03
full_pre2026,combo_tqqq_100_75_floor100,1999-03-10,2025-12-31,100000.0000000000,139729079.6186861694,1396.2907961869,0.3101092312,193,7.1981826305,1972138.7854834988,-0.4882722698,2024-12-16,2025-05-23,158,,,,1465,2000-01-03
full_pre2026,combo_tqqq_100_75_step_up,1999-03-10,2025-12-31,100000.0000000000,158296663.2082482576,1581.9666320825,0.3162197539,192,7.1608863474,1996936.8452487222,-0.4939012565,2007-10-31,2009-05-13,560,2009-12-24,225.0000000000,785.0000000000,1248,2000-01-03
