fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0050000000,filtered_ret_qqq_40_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,25738904.5504821017,256.3890455048,0.4182388777,81,5.0990421406,1298098.1138305389,-0.4676753601,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_40_sma150_block_cut,2010-02-11,2025-12-31,100000.0000000000,25855778.7394058704,257.5577873941,0.4186434157,83,5.2249444157,1304993.1743784926,-0.4676753611,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_40_sma100_block_cut,2010-02-11,2025-12-31,100000.0000000000,25855778.7394058704,257.5577873941,0.4186434157,83,5.2249444157,1304993.1743784926,-0.4676753611,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,ret_qqq_40_block_cut,2010-02-11,2025-12-31,100000.0000000000,25738904.5504821017,256.3890455048,0.4182388777,81,5.0990421406,1298098.1138305389,-0.4676753601,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_40_sma200_block_cut,2010-02-11,2025-12-31,100000.0000000000,25738904.5504821017,256.3890455048,0.4182388777,81,5.0990421406,1298098.1138305389,-0.4676753601,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,combo_qqq_30_65_floor50,2010-02-11,2025-12-31,100000.0000000000,21912098.4692554213,218.1209846926,0.4039405521,101,6.3580648914,1468311.0919512878,-0.4788166732,2021-11-19,2022-12-28,404,2023-06-13,167.0000000000,571.0000000000,571,2021-11-19
0.0050000000,magratio_qqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,21058992.6165629998,209.5899261656,0.4004352683,127,7.9947944674,1776244.3361808928,-0.4738228628,2024-12-16,2025-05-23,158,,,,570,2021-11-19
0.0050000000,magratio_tqqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,20924505.3428049274,208.2450534280,0.3998705744,125,7.8688921923,1675379.6158520905,-0.4738225742,2024-12-16,2025-05-23,158,,,,570,2021-11-19
0.0050000000,filtered_ret_qqq_60_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,22281792.5013165548,221.8179250132,0.4054200057,87,5.4767489659,1202401.2323657318,-0.4676753031,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_60_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,22281792.5013165548,221.8179250132,0.4054200057,87,5.4767489659,1202401.2323657318,-0.4676753031,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,ret_qqq_60_block_cut,2010-02-11,2025-12-31,100000.0000000000,22281792.5013165548,221.8179250132,0.4054200057,87,5.4767489659,1202401.2323657318,-0.4676753031,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_60_sma150_block_cut,2010-02-11,2025-12-31,100000.0000000000,22281792.5013165548,221.8179250132,0.4054200057,87,5.4767489659,1202401.2323657318,-0.4676753031,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,filtered_ret_qqq_60_sma100_block_cut,2010-02-11,2025-12-31,100000.0000000000,22281792.5013165548,221.8179250132,0.4054200057,87,5.4767489659,1202401.2323657318,-0.4676753031,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,magratio_tqqq_300_floor100,2010-02-11,2025-12-31,100000.0000000000,22307552.3437661491,222.0755234377,0.4055222332,91,5.7285535160,1238535.7476959673,-0.4676751144,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,combo_qqq_50_65_floor50,2010-02-11,2025-12-31,100000.0000000000,21250563.0140703358,211.5056301407,0.4012338389,101,6.3580648914,1445641.3096594145,-0.4945513093,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,573,2021-11-19
0.0050000000,combo_tqqq_100_65_floor50,2010-02-11,2025-12-31,100000.0000000000,21250563.0140703358,211.5056301407,0.4012338389,101,6.3580648914,1445641.3096594145,-0.4945513093,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,573,2021-11-19
0.0050000000,filtered_ret_tqqq_100_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,25842506.0114457533,257.4250601145,0.4185975610,85,5.3508466908,1336551.1147919938,-0.4676761383,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,ret_qqq_150_step_up,2010-02-11,2025-12-31,100000.0000000000,22471793.1178089753,223.7179311781,0.4061714306,113,7.1134785419,1676008.2341924864,-0.4659471688,2024-12-16,2025-05-23,158,,,,571,2021-11-19
0.0050000000,combo_tqqq_300_65_block_cut,2010-02-11,2025-12-31,100000.0000000000,22265630.2258994132,221.6563022590,0.4053558094,89,5.6026512410,1232513.3616479440,-0.4676756949,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
