regime_id,signal_start,signal_end,band,target_tqqq_weight,data_origin,execution_start,trading_days,start_close,end_close,tqqq_return,start_volatility,end_volatility
127,2021-12-15,2022-02-14,above_60_at_or_below_90,0.5000000000,actual,2021-12-16,42,39.4967689514,25.4576549530,-0.3554496829,0.6034219193,0.8808707788
128,2022-02-15,2022-04-20,above_90,0.0000000000,actual,2022-02-16,45,27.3015861511,22.8227901459,-0.1640489304,0.9075668277,0.9112793615
129,2022-04-21,2022-04-21,above_60_at_or_below_90,0.5000000000,actual,2022-04-22,1,21.4839153290,21.4839153290,0.0000000000,0.8773105925,0.8773105925
130,2022-04-22,2022-04-22,above_90,0.0000000000,actual,2022-04-25,1,19.7781658173,19.7781658173,0.0000000000,0.9028246460,0.9028246460
131,2022-04-25,2022-04-25,above_60_at_or_below_90,0.5000000000,actual,2022-04-26,1,20.5119228363,20.5119228363,0.0000000000,0.8904533785,0.8904533785
132,2022-04-26,2022-04-26,above_90,0.0000000000,actual,2022-04-27,1,18.2058238983,18.2058238983,0.0000000000,0.9348919861,0.9348919861
133,2022-04-27,2022-04-28,above_60_at_or_below_90,0.5000000000,actual,2022-04-28,2,18.1248245239,20.0402240753,0.1056782397,0.8930023933,0.8857691770
134,2022-04-29,2022-07-29,above_90,0.0000000000,actual,2022-05-02,63,17.4053573608,15.8949565887,-0.0867779236,0.9529305756,0.9064409270
135,2022-08-01,2022-10-03,above_60_at_or_below_90,0.5000000000,actual,2022-08-02,45,15.8711318970,9.8438177109,-0.3797658683,0.8149096447,0.8659484951
136,2022-10-04,2022-10-07,above_90,0.0000000000,actual,2022-10-05,4,10.7586336136,9.2911157608,-0.1364037391,0.9006047234,0.9262573846
137,2022-10-10,2022-10-12,above_60_at_or_below_90,0.5000000000,actual,2022-10-11,3,9.0004692078,8.6240606308,-0.0418209949,0.8730474212,0.8736798859
138,2022-10-13,2022-10-24,above_90,0.0000000000,actual,2022-10-14,8,9.2005853653,10.1344633102,0.1015020140,0.9037861247,0.9669687664
139,2022-10-25,2022-10-27,above_60_at_or_below_90,0.5000000000,actual,2022-10-26,3,10.7443389893,9.4817047119,-0.1175162361,0.8705174113,0.8878079524
140,2022-10-28,2022-12-22,above_90,0.0000000000,actual,2022-10-31,39,10.3393430710,8.4006137848,-0.1875099098,0.9296750246,0.9791082558
141,2022-12-23,2023-04-03,above_60_at_or_below_90,0.5000000000,actual,2022-12-27,68,8.4245624542,13.5174102783,0.6045237188,0.7322120500,0.6048137892
142,2023-04-04,2024-07-30,at_or_below_60,1.0000000000,actual,2023-04-05,332,13.3825292587,30.8119564056,1.3024015722,0.5624161290,0.5764449935
143,2024-07-31,2024-09-26,above_60_at_or_below_90,0.5000000000,actual,2024-08-01,41,33.5059776306,36.0310516357,0.0753618961,0.6251040902,0.6047435954
144,2024-09-27,2025-01-14,at_or_below_60,1.0000000000,actual,2024-09-30,74,35.4107627869,37.4201850891,0.0567460892,0.5704590420,0.5743968458
145,2025-01-15,2025-01-15,above_60_at_or_below_90,0.5000000000,actual,2025-01-16,1,39.9491043091,39.9491043091,0.0000000000,0.6029615347,0.6029615347
146,2025-01-16,2025-01-16,at_or_below_60,1.0000000000,actual,2025-01-17,1,39.1341285706,39.1341285706,0.0000000000,0.5986374155,0.5986374155
147,2025-01-17,2025-02-03,above_60_at_or_below_90,0.5000000000,actual,2025-01-21,11,41.0653915405,39.8700866699,-0.0291073536,0.6154245830,0.6414673184
148,2025-02-04,2025-03-05,at_or_below_60,1.0000000000,actual,2025-02-05,21,41.3172950745,35.5679435730,-0.1391512075,0.5692031248,0.5876976123
149,2025-03-06,2025-04-03,above_60_at_or_below_90,0.5000000000,actual,2025-03-07,21,32.6191825867,24.9180107117,-0.2360933434,0.6147390117,0.8713255612
150,2025-04-04,2025-05-21,above_90,0.0000000000,actual,2025-04-07,33,20.3554859161,33.6566543579,0.6534439166,0.9879146355,1.2705239016
151,2025-05-22,2025-06-02,above_60_at_or_below_90,0.5000000000,actual,2025-05-23,7,33.8300361633,35.4747276306,0.0486163083,0.7937767800,0.6419882031
152,2025-06-03,2025-11-12,at_or_below_60,1.0000000000,actual,2025-06-04,114,36.3020210266,55.4681701660,0.5279636945,0.5835653951,0.5894609824
153,2025-11-13,2025-11-20,above_60_at_or_below_90,0.5000000000,actual,2025-11-14,6,52.0421257019,46.1944732666,-0.1123638275,0.6174639108,0.6497119889
154,2025-11-21,2026-03-30,at_or_below_60,1.0000000000,actual,2025-11-24,87,47.2187995911,37.8029594421,-0.1994087150,0.5792943228,0.5298491305
155,2026-03-31,2026-05-01,above_60_at_or_below_90,0.5000000000,actual,2026-04-01,23,41.5842552185,65.1500015259,0.5666987706,0.6148841195,0.6278164996
156,2026-05-04,2026-05-05,at_or_below_60,1.0000000000,actual,2026-05-05,2,64.7608947754,67.2351913452,0.0382066458,0.5949693867,0.5961235240
157,2026-05-06,2026-05-07,above_60_at_or_below_90,0.5000000000,actual,2026-05-07,2,71.4055938721,71.1761169434,-0.0032137108,0.6013983029,0.6043064863
158,2026-05-08,2026-06-04,at_or_below_60,1.0000000000,actual,2026-05-11,19,76.1047744751,85.0242385864,0.1171997969,0.5625933041,0.4537850241
159,2026-06-05,2026-07-16,above_60_at_or_below_90,0.5000000000,actual,2026-06-08,28,72.8821945190,70.7399978638,-0.0293925927,0.6345038419,0.8963734340
160,2026-07-17,2026-07-20,above_90,0.0000000000,actual,2026-07-20,2,67.5299987793,67.6500015259,0.0017770287,0.9038654448,0.9037721901
161,2026-07-21,2026-09-02,above_60_at_or_below_90,0.5000000000,actual,2026-07-22,32,71.3700027466,69.5999984741,-0.0248003952,0.8216842036,0.6147413365
162,2026-09-03,2026-09-04,at_or_below_60,1.0000000000,actual,2026-09-04,2,72.0299987793,72.3700027466,0.0047203106,0.5979879336,0.5869591618
